,Training Loss,Validation Loss
Epoch 1,0.29051670662164686,0.33481400485696466
Epoch 2,0.2746577118575573,0.33218162275593854
Epoch 3,0.25343506771624086,0.2430426380757628
Epoch 4,0.2348839944124222,0.3286545209843537
Epoch 5,0.21381543697416783,0.3075305526626521
Epoch 6,0.21228160659074782,0.21016360819339752
Epoch 7,0.16992467505037784,0.22163073795622792
Epoch 8,0.183497106808424,0.20566767325689053
Epoch 9,0.16381198270320893,0.20732909903444094
Epoch 10,0.18287967757582665,0.22591500035647688
Epoch 11,0.1575041407376528,0.18389866359788795
Epoch 12,0.15291009577065706,0.18609588901544438
Epoch 13,0.1656168672055006,0.2110377198149418
Epoch 14,0.16893873540461063,0.184030390505133
Epoch 15,0.1477348892778158,0.1758721299983304
Epoch 16,0.14063982191234828,0.17331118522019223
Epoch 17,0.13896837459281086,0.17169907380794658
Epoch 18,0.1395409048654139,0.1697302378457168
Epoch 19,0.1394807787194848,0.1788270080397869
Epoch 20,0.14039372741878034,0.17839794400437126
Epoch 21,0.14486878598332406,0.18521701300452495
Epoch 22,0.14846938653588296,0.19465809341134696
Epoch 23,0.15379980788230896,0.18188215483879222
Epoch 24,0.1448700477361679,0.1781912069639255
Epoch 25,0.14287358319014312,0.171180647765768
Epoch 26,0.1390497964516282,0.1731487697568433
Epoch 27,0.1501388598509133,0.19132824396264964
Epoch 28,0.1488169090911746,0.1753634910645156
Epoch 29,0.14126670692712068,0.17881124839186668
Epoch 30,0.14185974792521447,0.17199495871519221
Epoch 31,0.13921243781596424,0.17567193700835623
Epoch 32,0.1396455813586712,0.1857315836281612
Epoch 33,0.14499665980041027,0.17807976773072934
Epoch 34,0.14456609906852244,0.1758244249584346
Epoch 35,0.1723363723948598,0.17720793470226484
Epoch 36,0.1358307868644595,0.1695530608553311
Epoch 37,0.13619754240624607,0.17156492302130008
Epoch 38,0.1367541265256703,0.1762863217756666
Epoch 39,0.13751604492738842,0.1775428632210041
Epoch 40,0.1409583724066615,0.1710593604065221
Epoch 41,0.13491696123331784,0.16476553383058515
Epoch 42,0.13883295435607435,0.18132021817667732
Epoch 43,0.13709428008943797,0.1681449779405676
Epoch 44,0.13986574054658413,0.18022448222698836
Epoch 45,0.1419119490340352,0.17254911491583133
Epoch 46,0.13944416652023792,0.1721970128088162
Epoch 47,0.1409982366502285,0.1834092185158154
Epoch 48,0.13768581098243593,0.16519131370145698
Epoch 49,0.1458059187591076,0.18533497213803488
Epoch 50,0.14182509041912852,0.17350943861850376
