,Training Loss,Validation Loss
Epoch 1,0.5145682497342428,0.5529424126805931
Epoch 2,0.5979309784465366,0.6720232131152317
Epoch 3,0.68471852139367,0.6483747506963795
Epoch 4,0.650065844212638,0.7777530160443537
Epoch 5,0.7459687446064419,0.6801676318563264
Epoch 6,0.745105976041158,0.698325500406068
Epoch 7,0.7202551474465264,0.9927402015390068
Epoch 8,0.8425110872427622,0.8498446776949126
Epoch 9,0.8257201349364387,0.9230143037335626
Epoch 10,0.8569591485712263,0.9022141900555841
Epoch 11,0.898133758884006,1.0734355984062984
Epoch 12,0.8787167089250353,0.8542922303594392
Epoch 13,0.97150731493632,0.7511461007183996
Epoch 14,0.9591632603857252,1.0288348917303414
Epoch 15,1.0060742518530952,1.361364868180505
