,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.7259870575778329,0.7899617005977423,0.6221958242552307,0.6263488386481525,0.79400974869131,0.7117006339540536
Epoch 2,0.8096225169519292,0.8232363904344256,0.6843230659318336,0.6787956661377795,0.848943391921869,0.7689842062755674
Epoch 3,0.8431203639260934,0.8477188755969691,0.7046500218708633,0.7071202346400167,0.8768218770521418,0.7958862746172167
Epoch 4,0.867236794720456,0.8740197032448088,0.7359890487538648,0.7423501844932632,0.9054284499036468,0.8250048362232079
Epoch 5,0.8979864529286524,0.90751758395463,0.7534994684780643,0.7849890719213879,0.9357653660552626,0.8559515886675995
Epoch 6,0.9257153360722563,0.9432176146127448,0.7846554995793531,0.8438183683859918,0.9611100738441609,0.8917033784989012
Epoch 7,0.9452884706937962,0.9597026162871184,0.8220300853406823,0.9030122221756424,0.9758994924730824,0.9211865773940643
Epoch 8,0.9615305636835807,0.975492884265718,0.8557868114783713,0.9449012809081828,0.9848018432956034,0.9445026767262912
Epoch 9,0.9715475145097713,0.9819172699767327,0.8859557428264525,0.9629984437554906,0.9873400846409832,0.957951811141886
Epoch 10,0.9759306033581678,0.9855279096965938,0.9107953782182189,0.9710890684698701,0.988564803642766,0.9663815526771232
Epoch 11,0.9832234560818821,0.9874672072357192,0.9344916809909092,0.9738641086524025,0.990628798737389,0.9739350503396604
Epoch 12,0.9795368786142061,0.9856487131776741,0.9536104824432664,0.978625302371983,0.9924833973722879,0.9779809547958835
Epoch 13,0.9857531522368446,0.9905887469561666,0.9594244652326261,0.9817630235178729,0.9921774830783909,0.9819413742043803
Epoch 14,0.9876843763046352,0.9921985506007434,0.9705185627758081,0.9834198015115477,0.9936180561767599,0.9854878694738989
Epoch 15,0.9870456648674558,0.9908503867833414,0.965740339586645,0.9848277393806694,0.99532558104863,0.9847579423333483
Epoch 16,0.9883920946973097,0.9907322863496208,0.9785043388073924,0.9840049547799302,0.9931401477091253,0.9869547644686758
Epoch 17,0.9901664205977467,0.99180769500491,0.980949669903763,0.9878801848255767,0.9939991651012313,0.9889606270866456
Epoch 18,0.9888218438958538,0.9913593428128952,0.977343801456702,0.9894031486040437,0.9934288127448269,0.9880713899028644
Epoch 19,0.9882809070196574,0.991818153524602,0.9793638802474214,0.9880300962489603,0.9949397480810851,0.9884865570243452
Epoch 20,0.9908191628609154,0.9946562522041205,0.9885350449086941,0.9902097372407281,0.9943247773545497,0.9917089949138015
Epoch 21,0.9907944544881039,0.994280326524079,0.9866906629226391,0.9894498848234878,0.9942107285531913,0.9910852114623001
