,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.6517406033837587,0.753667858432669,0.5939528670294953,0.6028800719969856,0.7521026108962611,0.6708688023478339
Epoch 2,0.7255690448563743,0.7695068823122484,0.6151409284750646,0.6304229383438905,0.7931343054980581,0.7067548198971272
Epoch 3,0.7696714607087014,0.7884441542331542,0.6268130354864099,0.6374689727546851,0.8123116450348834,0.7269418536435668
Epoch 4,0.7881700899675977,0.7891855218114197,0.646838647944443,0.6506406367897545,0.8263896834527087,0.7402449159931846
Epoch 5,0.7934799192848055,0.797942106889507,0.6319407406480553,0.6576865724446708,0.8380870642005256,0.7438272806935129
Epoch 6,0.8062346901848019,0.8146432007799329,0.6306681118641223,0.6588505339162497,0.8500166164964623,0.7520826306483138
Epoch 7,0.8134700518196349,0.8123414422733165,0.6610867724983581,0.6593385114003045,0.8560470091693242,0.7604567574321877
Epoch 8,0.8264007375096306,0.8195826030053035,0.6614115769770106,0.6768261776552085,0.8660176654940637,0.7700477521282434
Epoch 9,0.8370603707614882,0.8359283345853241,0.6782621344190041,0.688842842314662,0.8743612573686406,0.7828909878898237
Epoch 10,0.8407138566584345,0.8445027292189213,0.6768866248157226,0.7016108910747845,0.8826109751395717,0.7892650153814869
Epoch 11,0.856108320094499,0.850212702038896,0.6957369281838008,0.7074362040728999,0.8995413604273239,0.8018071029634839
Epoch 12,0.8614783319483408,0.8516920773328208,0.7157707954373052,0.7200703151729667,0.9121061448271988,0.8122235329437265
Epoch 13,0.8762223915922349,0.8729494733251161,0.7181249762131551,0.7375970146888012,0.9259847549495837,0.8261757221537783
Epoch 14,0.8958245585518281,0.8891392365462512,0.7377701729388341,0.754318779728914,0.9406428321791066,0.8435391159889868
Epoch 15,0.9025777098179866,0.9015428893282478,0.7404754866462608,0.7802707135640558,0.9545695495291212,0.8558872697771344
Epoch 16,0.9140439831979534,0.9169575852965541,0.7434210583481963,0.799429946505422,0.9654355420358355,0.8678576230767922
Epoch 17,0.9269036323161162,0.9338470335899358,0.7630371460582656,0.8335944191868055,0.9754067184387115,0.886557789917967
Epoch 18,0.9294978349729546,0.9446958025868011,0.7740495645725727,0.8627815955977396,0.9802298147273647,0.8982509224914865
Epoch 19,0.9431141780084715,0.9562841960753168,0.7928400858429215,0.8846164956190163,0.985890973593206,0.9125491858277865
Epoch 20,0.9531230986134984,0.9678544766203075,0.8104092449538435,0.9197461835667355,0.989959696544809,0.9282185400598388
Epoch 21,0.9639276288230582,0.9754675210923585,0.8288833034335951,0.9384514110462104,0.9927714123103188,0.9399002553411082
Epoch 22,0.9675291388929114,0.9768387997540074,0.8388090432935349,0.945984484760215,0.9936622411484435,0.9445647415698225
Epoch 23,0.9666897601708266,0.9810102081215104,0.843856633492816,0.9634960499376876,0.9943949662330602,0.9498895235911802
Epoch 24,0.9714454159835464,0.9851072700555504,0.8624137612827849,0.9657437090406908,0.9944760334125933,0.9558372379550331
Epoch 25,0.9725298488174087,0.9839283372125852,0.8675265209199976,0.9689407084025798,0.9954657204365049,0.9576782271578154
Epoch 26,0.9783776147084002,0.9882026887388924,0.8950198558243492,0.9728207034193582,0.996248589721453,0.9661338904824905
Epoch 27,0.9798410563323544,0.9901560067573152,0.8994376485754569,0.976109200102568,0.9968873323528128,0.9684862488241015
Epoch 28,0.9811205088230509,0.9898797906840964,0.9185666164601315,0.9783153323587117,0.9966561142812762,0.9729076725214533
Epoch 29,0.9824521136292177,0.9896050398141192,0.9160721910538524,0.9813482735176384,0.996800500973933,0.9732556237977521
Epoch 30,0.9846142727386081,0.9900920935814196,0.9328634877536198,0.9808204727256262,0.9965803128928756,0.9769941279384298
Epoch 31,0.9866606554725385,0.992160733199828,0.9386958917707684,0.9836040552916387,0.9969623102841637,0.9796167292037874
Epoch 32,0.9852474689139991,0.9929114225021669,0.9534137576332964,0.9866118383905479,0.9975249048083651,0.9831418784496752
Epoch 33,0.9878356268439176,0.9934413966196043,0.960149323167596,0.9868025606806728,0.9980639007871209,0.9852585616197823
Epoch 34,0.9898099581978453,0.9923253664675405,0.954312922091588,0.987508714589043,0.9981139366378404,0.9844141795967716
Epoch 35,0.9903460857657624,0.9942343241947091,0.9663617953467633,0.9884546971480634,0.9979346397002685,0.9874663084311134
Epoch 36,0.9894313465066024,0.9939489884944159,0.972924270853916,0.9893657695040763,0.9976623787957902,0.9886665508309601
Epoch 37,0.9919143614857885,0.9943607863917582,0.9681003421656169,0.9877786144046609,0.998060065210864,0.9880428339317376
Epoch 38,0.9913884261216563,0.9946630729778325,0.9737937180485108,0.9887207454844245,0.997781975097272,0.9892695875459392
Epoch 39,0.9913827784935852,0.9946962674098987,0.9794043721915232,0.9909053736480505,0.9981255300463007,0.9909028643578717
Epoch 40,0.9919212445325004,0.9960777772321159,0.9689591015723908,0.9916027382832446,0.9980690365587193,0.9893259796357942
Epoch 41,0.9922443065070117,0.9955784208100089,0.9772058160334544,0.9905207688796921,0.9982759409773725,0.9907650506415079
Epoch 42,0.9941602643301723,0.9964645151015972,0.9841021328479861,0.9932385306527629,0.9987764728439468,0.9933483831552931
Epoch 43,0.9938239657273689,0.9946800996499883,0.9846516415486274,0.9909514432653156,0.9988666630607915,0.9925947626504182
Epoch 44,0.9917924080171256,0.9959297664425614,0.985265798331697,0.9910171406134092,0.9981055937177334,0.9924221414245054
Epoch 45,0.9934853286535675,0.9962332150863792,0.9807953486747404,0.9912437112873869,0.9981728354868036,0.9919860878377754
Epoch 46,0.9939525375101779,0.9976495613787785,0.990205641726931,0.9943035634231729,0.9989236116167426,0.9950069831311605
Epoch 47,0.9948575257864962,0.9957009421155798,0.9894493286765861,0.9933730361591191,0.9982877077452115,0.9943337080965986
Epoch 48,0.9948694828740532,0.9977527066345818,0.9843655911623987,0.9931063952874879,0.9989191692826597,0.9938026690482363
Epoch 49,0.9933483295507463,0.9973233768225865,0.9865474639443568,0.9922597611421198,0.9985855824979144,0.9936129027915447
Epoch 50,0.9952954816945815,0.9969941102871617,0.9880779899173321,0.9935252189677057,0.9990511391098065,0.9945887879953176
