,Training Loss,Validation Loss
Epoch 1,0.5038565888643265,0.4864964937341624
Epoch 2,0.42702548451423644,0.4882253994201792
Epoch 3,0.4535207518339157,0.5172672528645088
Epoch 4,0.4388436876535416,0.48625949025154114
Epoch 5,0.445041604590416,0.5047929194466821
Epoch 6,0.48160373702049253,0.538041875280183
Epoch 7,0.450194887137413,0.506404846906662
Epoch 8,0.43726277556419374,0.5408315319439461
Epoch 9,0.43927468364238736,0.5073638763921015
Epoch 10,0.4328099720716476,0.5326859683826052
Epoch 11,0.41260393850803373,0.5808378540236374
Epoch 12,0.4250951405763626,0.5744430135036337
Epoch 13,0.4014048423528671,0.590041611728997
Epoch 14,0.3860218430519104,0.5969534886294398
Epoch 15,0.38226909446716306,0.5802852552512596
Epoch 16,0.4018553299188614,0.6259194427523119
Epoch 17,0.39297616894245146,0.6017356268290815
Epoch 18,0.38234487481117246,0.6607919510068565
Epoch 19,0.4898132558107376,0.8062346968157538
Epoch 20,0.6613433898925781,0.9882645771421236
Epoch 21,0.6278324418783188,0.7821877845402422
Epoch 22,0.5476736628770829,0.7879669522417003
Epoch 23,0.5802499416828155,0.8404491790409746
Epoch 24,0.5906027338981629,0.7119836005671271
Epoch 25,0.5393336613655091,0.7729386111785626
Epoch 26,0.5185389414787293,0.7342896451210154
Epoch 27,0.5285374279499054,0.7726075197088307
Epoch 28,0.5082604892492294,0.8263574201485206
Epoch 29,0.5485744813680649,0.8810898702720116
Epoch 30,0.5491860557794571,0.8904152738636938
Epoch 31,0.5834402240991592,0.8543280815256054
Epoch 32,0.5592233258008957,0.7807899507982977
Epoch 33,0.5292461917161941,0.8229225688967211
Epoch 34,0.5182240203619003,0.8292633623912417
Epoch 35,0.5491248686075211,0.9111750475291548
Epoch 36,0.5420465106725693,0.9062766001142305
Epoch 37,0.5763145456552505,0.7634448655720415
Epoch 38,0.5783505617380142,0.8396937641604193
Epoch 39,0.5367567122459411,0.8054494991384703
Epoch 40,0.519239350271225,0.7686908522556568
Epoch 41,0.5237048252344132,0.8315041835965782
Epoch 42,0.4906292329072952,0.8343790317403859
Epoch 43,0.49371362597942353,0.8019568293259062
Epoch 44,0.4291919588565826,0.8027624796176779
Epoch 45,0.47896312108039857,0.8511239886283875
Epoch 46,0.5029836423635483,0.9131898263405109
Epoch 47,0.5269211399793625,0.8641334299383492
Epoch 48,0.6398348093509674,1.0088774644095322
Epoch 49,0.6351480815649032,1.106485888875764
Epoch 50,0.6205901569128036,0.9083081792140829
