,Training Loss,Validation Loss
Epoch 1,0.12111889543235302,0.14756611786011992
Epoch 2,0.11049143326207995,0.14620466761547943
Epoch 3,0.10368304662443698,0.14562856168325605
Epoch 4,0.09529334038570524,0.1524467456700473
Epoch 5,0.08426459931135177,0.16205336294811348
Epoch 6,0.06920754847936332,0.1774519893886714
Epoch 7,0.05695750923976302,0.19212540084945745
Epoch 8,0.043689070411818104,0.22460990823034582
Epoch 9,0.03648718690238893,0.23477137307154722
Epoch 10,0.03225214545419439,0.24316040741215492
Epoch 11,0.02916223245668225,0.274757269769907
Epoch 12,0.027466612162976526,0.2683179635426094
Epoch 13,0.024280408353265375,0.29417361293373434
Epoch 14,0.022121364313550294,0.2781128663698147
Epoch 15,0.021463397737417837,0.3123128567019413
Epoch 16,0.022190487040253355,0.3025557876660906
Epoch 17,0.019834231993102004,0.31211670359660837
Epoch 18,0.01914871833866928,0.306360258881388
Epoch 19,0.01905887932146434,0.28936922935576276
Epoch 20,0.01686065588069614,0.31442079333395795
Epoch 21,0.016426878822385332,0.33657627193064527
Epoch 22,0.016705874833569397,0.3301759760441451
Epoch 23,0.01584181727959658,0.34611232822825166
Epoch 24,0.016496048376173713,0.3161133446827017
Epoch 25,0.014689319504174637,0.3085162601080434
Epoch 26,0.015074525209749117,0.33572400746674375
Epoch 27,0.015120661553134414,0.3159996381607549
Epoch 28,0.012425528782212496,0.3406777985650918
Epoch 29,0.013038558535609627,0.366847708949755
Epoch 30,0.014748150308255572,0.3053514651697257
Epoch 31,0.013958556523450533,0.3128259392005616
Epoch 32,0.010831831282062922,0.3765289563814114
Epoch 33,0.013442974399897502,0.3569695435721299
Epoch 34,0.010395702119046474,0.36223033006335126
Epoch 35,0.012087004211588646,0.37670626998718443
Epoch 36,0.013171929363021627,0.3533562532272832
Epoch 37,0.012337968071643264,0.3845462285239121
Epoch 38,0.010662640358043428,0.3602208884368683
Epoch 39,0.009046181424813404,0.3916298675126043
Epoch 40,0.00962100950241438,0.35223531427568405
Epoch 41,0.008657610079529695,0.40250589814165544
Epoch 42,0.010035892004216293,0.3811346731823066
Epoch 43,0.012716001396226057,0.3894336336003295
Epoch 44,0.008632783219692646,0.38575776525098704
Epoch 45,0.01084228700386302,0.4106296006718586
Epoch 46,0.010173488094593631,0.406190094762835
Epoch 47,0.009696571781471722,0.4138418343560449
Epoch 48,0.007990661322268715,0.38963208064950744
Epoch 49,0.011363584610653198,0.40317501224063595
Epoch 50,0.007958218378323363,0.39815457576307756
