,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.7489216909868337,0.7832284795003959,0.6339471598271476,0.6368322008724223,0.7985217933931336,0.7202902649159866
Epoch 2,0.7776544703571522,0.7939520249323305,0.6409411040217008,0.6499768358174937,0.8142997356800854,0.7353648341617525
Epoch 3,0.7986478101012382,0.8067205654783276,0.6537425315883031,0.6644711225691348,0.8332279964858371,0.7513620052445681
Epoch 4,0.812165882840472,0.8155002180200036,0.6616294156730897,0.6724012479737865,0.8460059932633269,0.7615405515541358
Epoch 5,0.82409770872943,0.8240036134604197,0.670473898727893,0.6800301683927079,0.8572807721653707,0.7711772322951643
Epoch 6,0.8308115500631901,0.8295299379449507,0.6820261385259329,0.6895103027345278,0.8641535770323491,0.7792063012601902
Epoch 7,0.8374771820130119,0.8377960467093548,0.681197584030579,0.6976797600430164,0.8714964078897591,0.7851293961371443
Epoch 8,0.8435062841262778,0.8425903638280359,0.690900224483711,0.701448440213905,0.8779582958562338,0.7912807217016328
Epoch 9,0.8473438408005074,0.8480176440102776,0.6921693299775261,0.7084993864945539,0.8849935113907946,0.796204742534732
Epoch 10,0.8532842371987636,0.8544398589998554,0.7018492831775709,0.7154638470202388,0.891778830079818,0.8033632112952492
Epoch 11,0.8573645094496581,0.8599357010097605,0.7019471847610678,0.720367564151584,0.8993610288586716,0.8077951976461485
Epoch 12,0.8669948424504323,0.8688753979255319,0.7101364007980946,0.7294841144672277,0.9065618132011269,0.8164105137684826
Epoch 13,0.8717921235945871,0.8745839538317925,0.709227534080388,0.7350924648464726,0.91623033896044,0.8213852830627362
Epoch 14,0.8789906043667424,0.884839794322322,0.7212858336053299,0.7450846329273773,0.9243167910552292,0.8309035312554002
Epoch 15,0.8837665787350233,0.8927382440908254,0.7201235673453095,0.7596186546181398,0.9349444132083381,0.8382382915995272
