,Training Loss,Validation Loss
Epoch 1,0.5309962483406067,0.5544606724689747
Epoch 2,0.4941327296257019,0.5420027375221252
Epoch 3,0.5024103070735931,0.5438750622601345
Epoch 4,0.5039647021532059,0.5593691653218763
Epoch 5,0.5018842601060868,0.5572218401678677
Epoch 6,0.5338880179166794,0.5890975717840523
Epoch 7,0.5141768280744553,0.5628911010150252
Epoch 8,0.4924033589363098,0.6294210995065754
Epoch 9,0.7684680435419082,1.1042835753539513
Epoch 10,0.8542818603754043,0.7365154500665336
Epoch 11,0.596010650753975,0.672542610045137
Epoch 12,0.5415933691978455,0.5885849204556696
Epoch 13,0.541352505159378,0.6020725482496722
Epoch 14,0.6233563906431198,0.8124402576479418
Epoch 15,0.650227531003952,0.7715498414532892
Epoch 16,0.7367641412258148,0.8309235428941661
Epoch 17,0.643543739438057,0.7683826150565312
Epoch 18,0.7182967269182206,0.7749483626464317
Epoch 19,0.6715466090679169,0.8619225395136866
Epoch 20,0.6982117526054382,0.8255765910806327
Epoch 21,0.7952641803026199,0.8732169064982184
Epoch 22,0.705821602010727,0.73812470045583
Epoch 23,0.6563018449306488,0.8626846712211083
Epoch 24,0.6683855036497116,0.9657231692610115
Epoch 25,0.6897430498123169,0.8447093141490015
Epoch 26,0.6127924391984939,0.7369200854465879
Epoch 27,0.6384213902235031,1.029306372691845
Epoch 28,0.7585893544912339,1.0119980491440872
Epoch 29,0.7351930159330368,0.8969835628723276
Epoch 30,0.6051334839820862,0.8208890978632302
Epoch 31,0.6728306608200073,1.0446439138774215
Epoch 32,0.7418955061912537,1.0999948629017533
Epoch 33,0.8212465073823929,1.217508862758505
Epoch 34,0.8875779466629028,1.2294238168617775
Epoch 35,0.8770253909826279,0.8858096106299038
Epoch 36,0.818421457695961,1.1496521974432057
Epoch 37,0.8583138586759568,0.8769771251185187
Epoch 38,0.829118336224556,1.1996981789325845
Epoch 39,0.8108172913312912,0.9121278729932062
Epoch 40,0.802955348277092,1.2141047448947513
Epoch 41,0.7776588760137558,1.1532639347273728
Epoch 42,0.9808313131809234,1.152304080025903
Epoch 43,1.0494277814865112,1.5303526746815648
Epoch 44,1.0517236159801484,1.3756417837636223
Epoch 45,1.033265170955658,1.3895348885963703
Epoch 46,0.9133372251749039,1.453395679079253
Epoch 47,0.950641130399704,1.3412218936558427
Epoch 48,0.8313562384128571,1.1517683884193157
Epoch 49,0.8288996270656586,1.1089810729026794
Epoch 50,0.8118129596233368,1.0106082949145088
