,Training Loss,Validation Loss
Epoch 1,0.12809800215810538,0.16014124401684465
Epoch 2,0.12228216549679637,0.1498856583032115
Epoch 3,0.119089662155509,0.14771169417634092
Epoch 4,0.11671734577715397,0.15921992114905653
Epoch 5,0.1154186961516738,0.15880864087877603
Epoch 6,0.1124543883960694,0.15441228699838294
Epoch 7,0.11177821701020002,0.15471479926129866
Epoch 8,0.1087769573353231,0.14920445621527476
Epoch 9,0.10554196090176701,0.1507260824457325
Epoch 10,0.1039739041596651,0.1536583986518712
Epoch 11,0.1005199337631464,0.15169459395110607
Epoch 12,0.09813945358246565,0.1529715190930613
Epoch 13,0.09200428351275623,0.15441564798098187
Epoch 14,0.086504203286767,0.1495699219020276
Epoch 15,0.08133964364659041,0.17075791531081858
Epoch 16,0.07557906248979271,0.16450732927127132
Epoch 17,0.06753313421942293,0.1710396547769678
Epoch 18,0.06222483539115638,0.18493991666312876
Epoch 19,0.05641118923937902,0.2056507671187664
Epoch 20,0.04822253538835794,0.2479853075768413
Epoch 21,0.041158057336881756,0.22924808849548473
Epoch 22,0.03912027571648359,0.25374729340446406
Epoch 23,0.03528945217933506,0.2522661589599889
Epoch 24,0.032761621041223404,0.2758765694653166
Epoch 25,0.032033944303466705,0.2818626154792206
Epoch 26,0.02855734665765922,0.2839852970992697
Epoch 27,0.02672430514410953,0.2728480214959589
Epoch 28,0.026073936129544745,0.29031556754790505
Epoch 29,0.025142025308462327,0.3191805910961381
Epoch 30,0.024236636875683327,0.2990886005091256
Epoch 31,0.022732557748172986,0.2963034129091378
Epoch 32,0.02073900229568244,0.30572898634548845
Epoch 33,0.019582302335335408,0.32673691881114036
Epoch 34,0.01938904171116301,0.34194258741777517
Epoch 35,0.018892737590865363,0.35802379468905515
Epoch 36,0.01849098519529216,0.311026730157178
Epoch 37,0.01793566758968227,0.3344118444827096
Epoch 38,0.017430410241294884,0.3471689164510061
Epoch 39,0.015986743343400302,0.36409971606114816
Epoch 40,0.015899475451495892,0.3573315581627961
Epoch 41,0.01607740799539024,0.3694476471121969
Epoch 42,0.013628756632206205,0.37956061368358546
Epoch 43,0.01527526078587689,0.37901436164975166
Epoch 44,0.015290680466148478,0.3930459935860387
Epoch 45,0.014976701644643617,0.35325796465421544
Epoch 46,0.012197625660150516,0.39831718918064546
Epoch 47,0.013880554854934963,0.38791722521699706
Epoch 48,0.012643122715959907,0.3704433111024314
Epoch 49,0.01401654602872095,0.3979647346483222
Epoch 50,0.012212754220688658,0.414506149831517
