,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.7262051063092387,0.777067031264797,0.6253405498024175,0.6312484901834523,0.7918190448785462,0.7103360444876903
Epoch 2,0.7859137975575312,0.8014405268487212,0.6490619764448634,0.6589966731383105,0.8261800506713036,0.744318604932146
Epoch 3,0.8057587985231991,0.8137992014952322,0.6613659837408618,0.6711625779300511,0.8436215339716117,0.7591416191321911
Epoch 4,0.8188042488456304,0.8226574270933823,0.6692624876457817,0.6784870193693091,0.8549142340581738,0.7688250834024555
Epoch 5,0.826121778424459,0.8307477943035899,0.6785642940903277,0.685384267231097,0.8647528043577242,0.7771141876814396
Epoch 6,0.8333723867844951,0.8370631951013663,0.6836218358920612,0.695103798563655,0.8705455080566575,0.783941344879647
Epoch 7,0.8396488179521078,0.8427999583212356,0.6887118113973439,0.7039847392093747,0.8780718621952766,0.7906434378150677
Epoch 8,0.8448998997801034,0.8474015345694392,0.6916949645964476,0.7062919102078304,0.885317673393028,0.7951211965093699
Epoch 9,0.8478773893822174,0.8529053780175477,0.6997098147556784,0.7145073643065523,0.8905771915167846,0.8011154275957562
Epoch 10,0.8558596387834924,0.858163506677448,0.7058461284974644,0.7238834946925623,0.8977576847271973,0.8083020906756329
Epoch 11,0.861585729387188,0.8674696710239447,0.7119524390210427,0.7308762041613985,0.9063085735161502,0.8156385234219448
Epoch 12,0.8708567987472656,0.8755738661138637,0.7220716442374672,0.7424653297121275,0.913809696894901,0.824955467141125
Epoch 13,0.8753077999270957,0.8825793145326203,0.7217167770382058,0.7526943441140779,0.9250086836509512,0.83146138385259
Epoch 14,0.8826452591912317,0.8949413024067536,0.7386465820725963,0.7666188196072939,0.934073300176776,0.8433850526909303
Epoch 15,0.8878678415243817,0.9026261368000077,0.739859484124707,0.7832343044319451,0.9447557317959402,0.8516686997353965
Epoch 16,0.8961619615683538,0.9148878172607322,0.7470455796309676,0.8039511899819716,0.9550481926842463,0.8634189482252543
Epoch 17,0.904938673357419,0.9265527707272502,0.7568191902560724,0.8253167880793217,0.9655886540305375,0.8758432152901202
Epoch 18,0.9091391247955176,0.9371897377620013,0.7676980712387262,0.8485608260731249,0.9731986178131002,0.887157275536494
Epoch 19,0.9166205662797369,0.9467002659427778,0.7773135164984123,0.8683380471191096,0.9796734476044785,0.8977291686889031
Epoch 20,0.9217389741785921,0.9554303501536545,0.7871535794521493,0.889111396169906,0.9841971308476744,0.9075262861603953
Epoch 21,0.9282710642285089,0.9617833164745072,0.7932158757243745,0.9080264577025099,0.9877071584339064,0.9158007745127614
Epoch 22,0.9331194547209393,0.9669207861520354,0.8073383925771557,0.9245656398020892,0.9899840251147517,0.9243856596733944
Epoch 23,0.9380563019755248,0.9716284299125526,0.8204178880910761,0.9340756269265492,0.991161966350207,0.9310680426511819
Epoch 24,0.9422300885443218,0.9757991499821526,0.818452646662103,0.9455120622913574,0.9928711495246734,0.9349730194009217
Epoch 25,0.9481616101097216,0.978753085581437,0.8322542986013084,0.9526392020002066,0.9936968641550202,0.9411010120895387
Epoch 26,0.9527097163598934,0.9818559681284935,0.8450812769003666,0.9613700817252009,0.9945584984703175,0.9471151083168543
Epoch 27,0.957139426463579,0.9836052131236594,0.8474633077593445,0.964396566137901,0.9951479410372691,0.9495504909043506
Epoch 28,0.9590522478747231,0.9858131846946836,0.863800352140154,0.9688078222665851,0.9953741620318711,0.9545695538016034
Epoch 29,0.9625543080560389,0.9882783158032764,0.8758257645432727,0.9731894122769493,0.996407941303064,0.9592511483965204
Epoch 30,0.9672273998534883,0.9880489798328893,0.8827613321562868,0.9753311876351589,0.9966061245405942,0.9619950048036834
