,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.6503337262847053,0.7694440554077216,0.6045958182770209,0.6233949021919312,0.7492811870055357,0.679409937833383
Epoch 2,0.7668529413244094,0.8092053263068248,0.6528488341882694,0.6643268930181027,0.8204379092581535,0.742734380819152
Epoch 3,0.803103124541406,0.8227445621255269,0.6600962839343781,0.6759080442538917,0.8410588340125553,0.7605821697735516
Epoch 4,0.8189257487806197,0.8301646292257726,0.6585041511194111,0.6861719155169137,0.8584237879232309,0.7704380465131896
Epoch 5,0.8341096615826543,0.8465607334827638,0.6584819066179304,0.694195657812659,0.8758014620783294,0.7818298843148674
Epoch 6,0.8495075665420747,0.8623081568976009,0.665820159114224,0.7103028403326315,0.8922857070046204,0.7960448859782303
Epoch 7,0.8661101811644367,0.8762360252451487,0.6789662250264197,0.7287270579601706,0.9155942005393557,0.8131267379871062
Epoch 8,0.8896066082896061,0.9017109582449411,0.6903873862554353,0.7587552888093443,0.939583844743501,0.8360088172685656
Epoch 9,0.9148979222111594,0.9273688900772193,0.6919197369726727,0.8037940675269983,0.9577068775479493,0.8591374988671998
Epoch 10,0.9289695170157298,0.9497969834597755,0.7174333112452386,0.8497854454475244,0.9718816721690934,0.8835733858674724
Epoch 11,0.944684483344836,0.9666943640603631,0.7346623727827403,0.8947016928090759,0.9805300081617596,0.904254584231755
Epoch 12,0.9492889327403679,0.9662746591179396,0.7539027369599864,0.9249152637530029,0.9846304775496139,0.915802414024182
Epoch 13,0.9610675905480239,0.9801821156686006,0.7679328480208737,0.9502005213421576,0.9870626662949842,0.9292891483749279
Epoch 14,0.9716528780709751,0.9856359558046199,0.7836614484194326,0.9632833050866831,0.9896345610297825,0.9387736296822986
Epoch 15,0.9762327514599781,0.9845906090779144,0.7982149135132044,0.9702446069538261,0.9916850774327002,0.9441935916875245
Epoch 16,0.9763500279866443,0.9845156816155797,0.8153520426969302,0.9739336081018138,0.990536896596678,0.9481376513995292
Epoch 17,0.9833127592007583,0.9879734096936633,0.8363193969793706,0.9792493654564479,0.9919384204949618,0.9557586703650405
Epoch 18,0.9787275029162499,0.9896793104612076,0.863247408732809,0.9798814030780924,0.9916171422261147,0.9606305534828948
Epoch 19,0.977300859118947,0.9843364973639479,0.8798013148933369,0.9799898617215252,0.9917304542501132,0.9626317974695742
Epoch 20,0.9812809808800433,0.9901589876880487,0.8871696322236631,0.986392526273631,0.9927915653381099,0.9675587384806994
Epoch 21,0.9866499779257162,0.993178266327063,0.9147126696860102,0.9879027999217262,0.9949757634920404,0.9754838954705113
Epoch 22,0.9885981889998147,0.9929598499955236,0.9263776515054748,0.9846514107598183,0.9927524944681021,0.9770679191457468
Epoch 23,0.9828288721925,0.9928627929118115,0.9437193258317228,0.9866241581863759,0.9934640046987325,0.9798998307642286
Epoch 24,0.9870730205659258,0.9921511588545061,0.9525995741220679,0.9880675247268671,0.9934928907052328,0.9826768337949201
Epoch 25,0.9854607992399705,0.9922816882536576,0.9583099809514077,0.9898198984108155,0.9936671818907404,0.9839079097493183
Epoch 26,0.9873557549462412,0.9939495189990377,0.9621657524697913,0.9897001569082773,0.9956445839756297,0.9857631534597955
Epoch 27,0.9897952655404414,0.9929632856445045,0.9623478793256649,0.9880362684913593,0.9944885369577926,0.9855262471919526
Epoch 28,0.9910618785016949,0.9955979231704007,0.9790680978917948,0.9919723815360283,0.9948259376488724,0.9905052437497582
Epoch 29,0.9905846098075827,0.9941279706490487,0.9698423646878271,0.990276891238028,0.9942729429002747,0.9878209558565523
Epoch 30,0.9917451973762178,0.9941744024345411,0.977643059515685,0.9905756771480724,0.993672621041252,0.9895621915031537
Epoch 31,0.992868192920504,0.9942699690528866,0.9772367497933261,0.9916407592964217,0.9947705059874862,0.9901572354101249
Epoch 32,0.9901789512725298,0.9959266844633284,0.9806573632514927,0.9936737971867313,0.9950437420384706,0.9910961076425104
Epoch 33,0.9938032283430451,0.9964236662456987,0.9855521962882616,0.9951781454821235,0.9958842966567297,0.9933683066031718
Epoch 34,0.9923610535685464,0.9953584382267282,0.9811757644070945,0.9918158534687929,0.995000532213293,0.991142328376891
Epoch 35,0.9922002726568939,0.9971151663894906,0.9825262489462101,0.9941027433444833,0.9962232575822192,0.9924335377838596
Epoch 36,0.9941171129219406,0.995360105526969,0.9867144714906302,0.9963459337439899,0.9958375329642859,0.9936750313295631
Epoch 37,0.9945264777129154,0.9955386077012296,0.9820316563585996,0.993506356594935,0.9946699792176776,0.9920546155170715
Epoch 38,0.9944344390241922,0.9972258650206269,0.9864683916929995,0.9942669743702325,0.9953687258640403,0.9935528791944183
Epoch 39,0.9941180836080155,0.9968254098173468,0.9867367159921109,0.9947915162182582,0.9950660620584969,0.9935075575388457
Epoch 40,0.9951812937145165,0.9984819989171644,0.9859387813940733,0.9964529110492472,0.9962580378076002,0.9944626045765205
Epoch 41,0.99433534080038,0.9972446600415229,0.9841344568892003,0.9956291142007545,0.9959551356329107,0.9934597415129536
Epoch 42,0.9936987031016332,0.9973366141760132,0.9907813919879128,0.9966604712166363,0.9962439306881465,0.9949442222340684
Epoch 43,0.9947252036256714,0.9968745699123241,0.9874742602443316,0.9958286010750862,0.9947261259865016,0.9939257521687829
Epoch 44,0.9947558243591199,0.9973609416022532,0.9866357468096083,0.9969800452390802,0.9959741618247391,0.9943413439669602
Epoch 45,0.9934958738341068,0.9983007179091692,0.9865441620261683,0.99616343288074,0.9953935595950603,0.993979549249049
